freq_hz,H_mag,coherence,phase_deg
149.44,0.039395,0.9761,172.04
151.43,0.057356,0.9749,172.27
153.42,0.040709,0.9024,172.51
155.42,0.043365,0.9301,172.77
157.41,0.063140,0.9164,173.05
159.40,0.055514,0.9851,173.36
161.39,0.041362,0.9205,173.69
163.38,0.038781,0.9936,174.05
165.38,0.026175,0.9391,174.44
167.37,0.050339,0.9438,174.88
169.36,0.064604,0.9943,175.36
171.35,0.048551,0.9964,175.89
173.34,0.058880,1.0000,176.49
175.34,0.033518,1.0000,177.16
177.33,0.046625,0.9322,177.92
179.32,0.040931,0.9715,178.79
181.31,0.066126,0.9493,179.79
183.30,0.059830,0.9410,-179.06
185.30,0.030004,0.9818,-177.70
187.29,0.032161,1.0000,-176.09
189.28,0.062555,0.9555,-174.17
191.27,0.060380,1.0000,-171.86
193.26,0.049226,1.0000,-169.04
195.26,0.059375,0.9678,-165.62
197.25,0.080568,0.9970,-161.47
199.24,0.148684,0.9533,-156.56
201.23,0.356391,1.0000,-150.99
203.22,1.000000,0.9769,-145.04
205.22,0.270796,0.9852,-139.15
207.21,0.125746,0.9578,-133.72
209.20,0.062674,0.9781,-129.01
211.19,0.079241,0.9615,-125.05
213.18,0.064909,0.9793,-121.78
215.18,0.041091,1.0000,-119.10
217.17,0.036985,0.9530,-116.89
219.16,0.058567,0.9550,-115.05
221.15,0.037393,1.0000,-113.50
223.14,0.052434,0.9462,-112.19
225.14,0.057432,1.0000,-111.07
227.13,0.050374,0.9856,-110.09
229.12,0.061908,1.0000,-109.24
231.11,0.054627,0.9595,-108.49
233.10,0.034211,0.9370,-107.83
235.10,0.028700,0.9666,-107.23
237.09,0.064793,1.0000,-106.70
239.08,0.056154,0.9721,-106.21
241.07,0.051332,0.9700,-105.77
243.06,0.057849,0.9225,-105.36
245.06,0.027073,0.9189,-104.98
247.05,0.062264,0.9456,-104.64
249.04,0.025781,0.9467,-104.31
251.03,0.033691,0.9984,-104.01
253.02,0.056897,0.9394,-103.73
255.02,0.031014,0.9194,-103.46
257.01,0.042194,0.9789,-103.21
259.00,0.060369,0.9152,-102.97
260.99,0.030874,0.9219,-102.74
262.98,0.029250,0.9815,-102.52
264.97,0.048988,0.9780,-102.31
266.97,0.060591,0.9416,-102.11
268.96,0.037762,0.9830,-101.91
270.95,0.061175,0.8844,-101.72
272.94,0.043850,0.9110,-101.54
274.93,0.058713,0.9254,-101.36
276.93,0.043960,0.8822,-101.19
278.92,0.048574,0.9540,-101.02
280.91,0.059516,0.9598,-100.85
282.90,0.027630,0.9725,-100.68
284.89,0.049656,0.9407,-100.52
286.89,0.061404,0.8981,-100.35
288.88,0.042590,0.8998,-100.19
290.87,0.033501,0.9219,-100.03
292.86,0.041491,0.9211,-99.87
294.85,0.025216,0.9671,-99.71
296.85,0.036859,0.8950,-99.54
298.84,0.041556,0.9188,-99.38
300.83,0.052593,0.9193,-99.21
302.82,0.031278,0.9704,-99.05
304.81,0.041259,0.9238,-98.88
306.81,0.064523,0.9623,-98.70
308.80,0.040270,0.9103,-98.52
310.79,0.058631,0.9315,-98.34
312.78,0.037686,0.9203,-98.15
314.77,0.034130,0.9090,-97.96
316.77,0.049084,0.9239,-97.76
318.76,0.039865,0.9601,-97.55
320.75,0.047665,0.8906,-97.33
322.74,0.056533,0.9790,-97.11
324.73,0.042284,0.9742,-96.87
326.73,0.031207,0.9791,-96.62
328.72,0.060678,0.9093,-96.36
330.71,0.037975,0.9244,-96.08
332.70,0.036892,0.9088,-95.78
334.69,0.068047,0.9491,-95.47
336.69,0.032191,0.9157,-95.13
338.68,0.049782,0.9719,-94.76
340.67,0.068903,0.9370,-94.37
342.66,0.071272,0.9797,-93.94
344.65,0.063494,0.9977,-93.47
346.65,0.064969,0.9413,-92.96
348.64,0.055328,1.0000,-92.39
350.63,0.075240,0.9824,-91.76
352.62,0.080878,0.9320,-91.05
354.61,0.083844,1.0000,-90.25
356.61,0.055021,0.9732,-89.34
358.60,0.060403,1.0000,-88.29
360.59,0.096605,1.0000,-87.08
362.58,0.082623,1.0000,-85.66
364.57,0.101817,1.0000,-83.97
366.57,0.095975,0.9934,-81.96
368.56,0.130359,0.9757,-79.53
370.55,0.190529,1.0000,-76.59
372.54,0.204975,1.0000,-73.00
374.53,0.320894,0.9746,-68.68
376.53,0.462594,1.0000,-63.61
378.52,0.628940,1.0000,-57.91
380.51,0.649742,0.9715,-51.93
382.50,0.489911,0.9739,-46.10
384.49,0.334952,1.0000,-40.80
386.49,0.249214,0.9626,-36.24
388.48,0.182426,0.9539,-32.43
390.47,0.124411,1.0000,-29.30
392.46,0.136992,0.9730,-26.72
394.45,0.121692,0.9537,-24.59
396.45,0.101734,0.9512,-22.81
398.44,0.099303,0.9660,-21.32
400.43,0.086773,0.9381,-20.05
402.42,0.071538,0.9717,-18.96
404.41,0.063172,1.0000,-18.01
406.41,0.065323,0.9894,-17.19
408.40,0.080225,0.9876,-16.46
410.39,0.070627,0.9821,-15.81
412.38,0.062736,0.9854,-15.23
414.37,0.047568,1.0000,-14.71
416.37,0.055453,0.9351,-14.23
418.36,0.048448,0.9962,-13.80
420.35,0.044313,0.9781,-13.41
422.34,0.047561,0.9322,-13.05
424.33,0.048930,0.9796,-12.71
426.33,0.045368,0.9396,-12.40
428.32,0.036084,0.9948,-12.11
430.31,0.065114,0.9509,-11.84
432.30,0.055593,0.9049,-11.59
434.29,0.046398,0.9474,-11.35
436.29,0.028060,0.9751,-11.13
438.28,0.048723,0.9651,-10.92
440.27,0.041264,0.9105,-10.72
442.26,0.059145,0.9775,-10.53
444.25,0.052866,0.9702,-10.35
446.25,0.029079,0.9166,-10.17
448.24,0.033642,0.9809,-10.01
450.23,0.044879,0.9698,-9.85
452.22,0.043606,0.9549,-9.70
454.21,0.044043,0.9700,-9.55
456.21,0.061678,0.9191,-9.41
458.20,0.039421,0.9296,-9.27
460.19,0.057192,0.9313,-9.14
462.18,0.052971,0.9713,-9.01
464.17,0.053060,0.9397,-8.88
466.17,0.042347,0.9159,-8.76
468.16,0.048120,0.9157,-8.65
470.15,0.060882,0.9389,-8.53
472.14,0.032944,0.9353,-8.42
474.13,0.030754,0.9625,-8.31
476.13,0.045404,0.9657,-8.20
478.12,0.048896,0.9560,-8.09
480.11,0.061874,0.9447,-7.99
482.10,0.026871,0.8719,-7.89
484.09,0.047287,0.8897,-7.79
486.09,0.032184,0.8874,-7.69
488.08,0.030917,0.9483,-7.59
490.07,0.032254,0.9614,-7.49
492.06,0.029612,0.9138,-7.39
494.05,0.053084,0.9299,-7.30
496.05,0.051851,0.9619,-7.20
498.04,0.060843,0.8900,-7.11
500.03,0.058647,0.9006,-7.01
502.02,0.051841,0.9499,-6.92
504.01,0.033540,0.8905,-6.83
506.01,0.056201,0.9311,-6.73
508.00,0.063476,0.8954,-6.64
509.99,0.033986,0.9535,-6.55
511.98,0.060048,0.9639,-6.45
513.97,0.024982,0.9613,-6.36
515.97,0.034132,0.8974,-6.26
517.96,0.050778,0.8912,-6.17
519.95,0.042475,0.8865,-6.07
521.94,0.039638,0.9142,-5.98
523.93,0.028061,0.9180,-5.88
525.93,0.033849,0.9184,-5.78
527.92,0.054380,0.8930,-5.68
529.91,0.062739,0.9262,-5.58
531.90,0.058752,0.9633,-5.48
533.89,0.044128,0.9351,-5.37
535.89,0.062317,0.9423,-5.27
537.88,0.054144,0.8825,-5.16
539.87,0.028756,0.9033,-5.05
541.86,0.053441,0.9542,-4.94
543.85,0.047828,0.9309,-4.82
545.85,0.037095,0.9439,-4.70
547.84,0.044341,0.9017,-4.58
549.83,0.046341,0.9550,-4.46
551.82,0.040806,0.9546,-4.33
553.81,0.031221,0.9032,-4.20
555.81,0.067371,0.8825,-4.07
557.80,0.049010,0.9381,-3.93
559.79,0.063061,0.9428,-3.78
561.78,0.043946,0.9309,-3.63
563.77,0.056725,0.8868,-3.48
565.77,0.043512,0.9498,-3.32
567.76,0.048790,0.9235,-3.15
569.75,0.046527,0.9711,-2.97
571.74,0.068347,0.9609,-2.79
573.73,0.037250,0.9771,-2.60
575.73,0.065235,0.9307,-2.39
577.72,0.065436,0.9600,-2.18
579.71,0.057105,0.9026,-1.96
581.70,0.059902,0.9918,-1.72
583.69,0.065477,0.9889,-1.46
585.69,0.055888,0.9399,-1.20
587.68,0.066281,0.9299,-0.91
589.67,0.051206,0.9570,-0.60
591.66,0.072431,0.9411,-0.27
593.65,0.054919,1.0000,0.09
595.65,0.077282,0.9266,0.47
597.64,0.060035,0.9759,0.89
599.63,0.063626,0.9497,1.36
601.62,0.057064,0.9997,1.86
603.61,0.075532,0.9507,2.42
605.61,0.072969,0.9963,3.04
607.60,0.069283,0.9641,3.74
609.59,0.079441,0.9972,4.52
611.58,0.082894,0.9341,5.41
613.57,0.108483,0.9429,6.44
615.57,0.098960,1.0000,7.62
617.56,0.125199,1.0000,8.99
619.55,0.105220,0.9770,10.62
621.54,0.158422,0.9665,12.56
623.53,0.171130,1.0000,14.89
625.53,0.213762,0.9728,17.72
627.52,0.239512,0.9840,21.16
629.51,0.341088,1.0000,25.31
631.50,0.420227,0.9851,30.23
633.49,0.516067,0.9580,35.82
635.49,0.524819,0.9990,41.80
637.48,0.490983,1.0000,47.73
639.47,0.416660,0.9686,53.21
641.46,0.308030,1.0000,57.98
643.45,0.258708,0.9797,62.00
645.45,0.208542,1.0000,65.32
647.44,0.154794,1.0000,68.05
649.43,0.139589,0.9599,70.32
651.42,0.110285,0.9810,72.21
653.41,0.109591,1.0000,73.80
655.41,0.080888,1.0000,75.16
657.40,0.092559,0.9486,76.33
659.39,0.087634,0.9457,77.36
661.38,0.095881,0.9357,78.26
663.37,0.058689,0.9319,79.06
665.37,0.056928,0.9747,79.78
667.36,0.062493,0.9646,80.43
669.35,0.080912,0.9396,81.03
671.34,0.051841,0.9423,81.57
673.33,0.081954,1.0000,82.08
675.33,0.045455,0.9765,82.55
677.32,0.057012,0.9496,82.99
679.31,0.044252,0.9589,83.41
681.30,0.056092,0.9126,83.81
683.29,0.053440,0.9240,84.19
685.29,0.037481,1.0000,84.56
687.28,0.044203,0.9433,84.91
689.27,0.045227,0.9133,85.26
691.26,0.037880,0.9388,85.60
693.25,0.049532,0.9693,85.94
695.25,0.058616,0.9683,86.27
697.24,0.070733,0.9331,86.60
699.23,0.050430,0.9103,86.93
701.22,0.043575,0.9840,87.27
703.21,0.073598,0.9120,87.61
705.21,0.067373,0.9377,87.95
707.20,0.044515,0.9351,88.31
709.19,0.052762,0.9670,88.68
711.18,0.068979,0.9391,89.06
713.17,0.074774,0.9440,89.46
715.17,0.056651,0.9348,89.88
717.16,0.074694,0.9558,90.32
719.15,0.057298,0.9947,90.79
721.14,0.075462,1.0000,91.30
723.13,0.057200,0.9884,91.85
725.13,0.067587,0.9334,92.44
727.12,0.084593,0.9970,93.09
729.11,0.098866,0.9704,93.81
731.10,0.105120,1.0000,94.62
733.09,0.090062,0.9423,95.52
735.09,0.115037,1.0000,96.55
737.08,0.128381,0.9467,97.72
739.07,0.127963,1.0000,99.09
741.06,0.149050,0.9535,100.68
743.05,0.164390,0.9654,102.58
745.05,0.212343,0.9766,104.85
747.04,0.224661,0.9540,107.60
749.03,0.305740,1.0000,110.93
751.02,0.343432,1.0000,114.96
753.01,0.431929,1.0000,119.75
755.01,0.521411,0.9768,125.24
757.00,0.582599,1.0000,131.18
758.99,0.538904,1.0000,137.15
760.98,0.481938,1.0000,142.73
762.97,0.380334,0.9849,147.63
764.96,0.291305,0.9945,151.76
766.96,0.264021,1.0000,155.19
768.95,0.198929,1.0000,158.00
770.94,0.174624,1.0000,160.33
772.93,0.151562,0.9959,162.26
774.92,0.141125,0.9838,163.88
776.92,0.116582,0.9545,165.25
778.91,0.092835,1.0000,166.43
780.90,0.085365,0.9911,167.44
782.89,0.105817,1.0000,168.33
784.88,0.077522,0.9923,169.11
786.88,0.092133,0.9958,169.80
788.87,0.092648,0.9925,170.42
790.86,0.062168,1.0000,170.98
792.85,0.068142,0.9458,171.48
794.84,0.073873,0.9583,171.94
796.84,0.059466,0.9793,172.36
798.83,0.075014,0.9667,172.74
800.82,0.054152,0.9952,173.10
802.81,0.077308,0.9792,173.43
804.80,0.050324,0.9391,173.73
806.80,0.054487,0.9851,174.02
808.79,0.074810,0.9494,174.28
810.78,0.073679,0.9442,174.53
812.77,0.045730,0.9524,174.77
814.76,0.043951,0.8960,174.99
816.76,0.064951,0.9635,175.20
818.75,0.068574,0.9571,175.40
820.74,0.057610,0.9593,175.59
822.73,0.039632,0.9174,175.77
824.72,0.037087,0.8902,175.94
826.72,0.042211,0.9403,176.11
828.71,0.049062,0.9456,176.26
830.70,0.033199,0.9736,176.42
832.69,0.045769,0.8969,176.56
834.68,0.053351,0.9111,176.70
836.68,0.028012,0.8929,176.84
838.67,0.068883,0.9429,176.97
840.66,0.042195,0.8951,177.09
842.65,0.036924,0.9262,177.22
844.64,0.068396,0.9599,177.34
846.64,0.054036,0.8950,177.45
848.63,0.038527,0.8821,177.56
850.62,0.049656,0.8793,177.67
852.61,0.032415,0.9543,177.78
854.60,0.035394,0.9152,177.88
856.60,0.049427,0.8869,177.99
858.59,0.062956,0.8828,178.09
860.58,0.061810,0.9034,178.18
862.57,0.027199,0.9682,178.28
864.56,0.053661,0.9144,178.37
866.56,0.060612,0.8817,178.46
868.55,0.034121,0.8767,178.56
870.54,0.056362,0.9589,178.64
872.53,0.052854,0.9698,178.73
874.52,0.051401,0.8840,178.82
876.52,0.044479,0.9621,178.91
878.51,0.039978,0.8994,178.99
880.50,0.064925,0.9212,179.07
882.49,0.048572,0.9625,179.16
884.48,0.043440,0.8871,179.24
886.48,0.057057,0.9534,179.32
888.47,0.051497,0.9045,179.40
890.46,0.040244,0.9242,179.48
892.45,0.048962,0.8748,179.56
894.44,0.036331,0.8829,179.64
896.44,0.055920,0.8769,179.72
898.43,0.052202,0.9112,179.80
900.42,0.064696,0.9113,179.88
902.41,0.064025,0.8807,179.96
904.40,0.042429,0.9451,-179.97
906.40,0.043506,0.8758,-179.89
908.39,0.050909,0.8831,-179.81
910.38,0.056503,0.8941,-179.73
912.37,0.045580,0.9075,-179.65
914.36,0.063696,0.9342,-179.57
916.36,0.024747,0.9623,-179.49
918.35,0.048726,0.9058,-179.41
920.34,0.056884,0.9533,-179.33
922.33,0.053180,0.9633,-179.25
924.32,0.041291,0.9192,-179.17
926.32,0.035264,0.9024,-179.08
928.31,0.039693,0.9499,-179.00
930.30,0.037795,0.9571,-178.91
932.29,0.036967,0.9505,-178.83
934.28,0.059375,0.9548,-178.74
936.28,0.062341,0.9422,-178.65
938.27,0.036338,0.9044,-178.56
940.26,0.046437,0.8921,-178.47
942.25,0.058571,0.8760,-178.38
944.24,0.033285,0.9558,-178.29
946.24,0.030688,0.9284,-178.19
948.23,0.026039,0.9311,-178.09
950.22,0.042550,0.8848,-177.99
952.21,0.024853,0.8901,-177.89
954.20,0.046916,0.8985,-177.78
956.20,0.047987,0.9496,-177.68
958.19,0.031612,0.9451,-177.57
960.18,0.048018,0.8788,-177.45
962.17,0.042690,0.8943,-177.34
964.16,0.052783,0.9053,-177.22
966.16,0.050214,0.9241,-177.09
968.15,0.044994,0.8837,-176.96
970.14,0.051173,0.9509,-176.83
972.13,0.045029,0.8949,-176.69
974.12,0.054574,0.9252,-176.55
976.12,0.051450,0.9030,-176.40
978.11,0.050161,0.9542,-176.25
980.10,0.032989,0.9107,-176.08
982.09,0.050955,0.9313,-175.92
984.08,0.057040,0.9416,-175.74
986.08,0.034190,0.9336,-175.55
988.07,0.046854,0.9128,-175.36
990.06,0.031777,0.9800,-175.15
992.05,0.051375,0.9397,-174.93
994.04,0.067019,0.8963,-174.70
996.04,0.048890,0.9425,-174.45
998.03,0.048797,0.9090,-174.19
1000.02,0.061706,0.9716,-173.91
1002.01,0.050083,0.9782,-173.61
1004.00,0.060901,0.9385,-173.28
1006.00,0.061120,0.9199,-172.93
1007.99,0.038795,0.9416,-172.55
1009.98,0.053717,0.9646,-172.13
1011.97,0.045178,0.9751,-171.68
1013.96,0.044265,1.0000,-171.18
1015.96,0.073556,1.0000,-170.62
1017.95,0.071698,0.9307,-170.00
1019.94,0.036419,0.9541,-169.31
1021.93,0.066621,1.0000,-168.53
1023.92,0.040473,0.9446,-167.64
1025.92,0.058319,0.9857,-166.62
1027.91,0.065835,1.0000,-165.43
1029.90,0.075481,1.0000,-164.04
1031.89,0.094676,1.0000,-162.41
1033.88,0.078464,0.9645,-160.45
1035.88,0.088282,1.0000,-158.09
1037.87,0.112941,1.0000,-155.23
1039.86,0.130866,0.9682,-151.74
1041.85,0.183230,0.9986,-147.54
1043.84,0.229894,0.9799,-142.57
1045.84,0.300641,1.0000,-136.95
1047.83,0.323617,1.0000,-130.98
1049.82,0.282938,0.9982,-125.08
1051.81,0.214849,1.0000,-119.68
1053.80,0.171717,0.9751,-114.99
1055.80,0.138134,1.0000,-111.06
1057.79,0.116675,0.9874,-107.82
1059.78,0.112199,0.9594,-105.15
1061.77,0.086131,1.0000,-102.94
1063.76,0.069616,0.9587,-101.10
1065.76,0.061302,0.9761,-99.56
1067.75,0.086182,0.9517,-98.24
1069.74,0.084010,0.9472,-97.11
1071.73,0.078739,0.9574,-96.13
1073.72,0.061076,0.9618,-95.27
1075.72,0.052028,0.9541,-94.51
1077.71,0.073068,0.9822,-93.83
1079.70,0.047844,0.9537,-93.22
1081.69,0.066480,0.9783,-92.67
1083.68,0.046385,0.9381,-92.17
1085.68,0.033118,0.9849,-91.71
1087.67,0.050308,0.9197,-91.29
1089.66,0.062661,0.9802,-90.90
1091.65,0.069085,0.9719,-90.53
1093.64,0.047846,1.0000,-90.19
1095.64,0.029734,0.9320,-89.87
1097.63,0.057714,0.9227,-89.57
1099.62,0.045630,0.9620,-89.29
1101.61,0.049639,0.8972,-89.01
1103.60,0.041083,0.9647,-88.75
1105.60,0.067645,0.9746,-88.51
1107.59,0.026710,0.9574,-88.27
1109.58,0.036793,0.9208,-88.04
1111.57,0.033664,0.9742,-87.81
1113.56,0.038760,0.9513,-87.60
1115.56,0.031068,0.9490,-87.39
1117.55,0.027285,0.9341,-87.18
1119.54,0.036502,0.9562,-86.98
1121.53,0.031180,0.9641,-86.78
1123.52,0.057419,0.9524,-86.58
1125.52,0.052642,0.9474,-86.39
1127.51,0.044421,0.9284,-86.20
1129.50,0.037833,0.9703,-86.00
1131.49,0.057464,0.8900,-85.81
1133.48,0.026905,0.9706,-85.62
1135.48,0.064261,0.9536,-85.43
1137.47,0.044745,0.9208,-85.23
1139.46,0.058505,0.9249,-85.04
1141.45,0.068927,0.9442,-84.84
1143.44,0.055632,0.9148,-84.64
1145.44,0.062406,0.9169,-84.43
1147.43,0.030390,0.9442,-84.22
1149.42,0.052252,0.9201,-84.01
1151.41,0.059068,0.9642,-83.78
1153.40,0.067971,0.9499,-83.56
1155.40,0.038525,0.9633,-83.32
1157.39,0.068641,0.9333,-83.07
1159.38,0.050702,0.9230,-82.82
1161.37,0.043836,0.9807,-82.55
1163.36,0.038886,0.9491,-82.27
1165.36,0.058324,0.9559,-81.97
1167.35,0.051195,0.9316,-81.66
1169.34,0.053352,0.9068,-81.33
1171.33,0.038770,0.9089,-80.97
1173.32,0.045262,0.9663,-80.60
1175.32,0.064445,0.9481,-80.19
1177.31,0.077822,0.9486,-79.75
1179.30,0.063490,1.0000,-79.27
1181.29,0.074752,1.0000,-78.74
1183.28,0.056621,0.9907,-78.17
1185.28,0.075741,1.0000,-77.53
1187.27,0.060767,0.9315,-76.82
1189.26,0.092226,0.9618,-76.02
1191.25,0.084565,1.0000,-75.12
1193.24,0.088380,0.9555,-74.09
1195.24,0.077095,1.0000,-72.89
1197.23,0.091461,0.9626,-71.51
1199.22,0.118035,1.0000,-69.87
1201.21,0.115764,0.9915,-67.93
1203.20,0.140386,0.9532,-65.59
1205.20,0.205152,1.0000,-62.75
1207.19,0.252120,0.9921,-59.31
1209.18,0.276526,1.0000,-55.16
1211.17,0.399395,0.9808,-50.24
1213.16,0.448646,0.9752,-44.65
1215.16,0.504825,0.9701,-38.67
1217.15,0.440802,0.9959,-32.73
1219.14,0.352333,1.0000,-27.25
1221.13,0.277765,1.0000,-22.47
1223.12,0.241155,0.9978,-18.45
1225.12,0.188392,0.9832,-15.12
1227.11,0.149649,0.9682,-12.38
1229.10,0.129138,0.9821,-10.12
1231.09,0.122792,1.0000,-8.23
1233.08,0.079490,1.0000,-6.64
1235.08,0.087154,0.9390,-5.28
1237.07,0.071930,1.0000,-4.11
1239.06,0.064698,0.9897,-3.10
1241.05,0.076487,0.9342,-2.20
1243.04,0.051654,1.0000,-1.41
1245.04,0.060169,1.0000,-0.70
1247.03,0.064249,0.9843,-0.06
1249.02,0.076892,1.0000,0.52
1251.01,0.047922,1.0000,1.05
1253.00,0.041327,1.0000,1.54
1254.99,0.066058,0.9545,1.99
1256.99,0.045184,0.9121,2.42
1258.98,0.062069,0.9996,2.81
1260.97,0.035281,0.9420,3.18
1262.96,0.066574,0.9081,3.54
1264.95,0.058604,1.0000,3.88
1266.95,0.065366,0.9136,4.20
1268.94,0.068929,0.9025,4.51
1270.93,0.039934,0.9142,4.81
1272.92,0.066080,0.9384,5.10
1274.91,0.065424,0.9700,5.38
1276.91,0.058493,0.9053,5.66
1278.90,0.067457,0.9158,5.93
1280.89,0.066856,0.9420,6.20
1282.88,0.072798,0.9460,6.47
1284.87,0.065425,0.9274,6.73
1286.87,0.051849,0.9308,7.00
1288.86,0.053820,0.9202,7.27
1290.85,0.051094,0.9655,7.54
1292.84,0.064018,0.9340,7.81
1294.83,0.073023,0.9466,8.09
1296.83,0.057234,0.9211,8.38
1298.82,0.060867,0.9271,8.67
1300.81,0.041324,0.9307,8.97
1302.80,0.049467,0.9908,9.29
1304.79,0.059189,0.9998,9.61
1306.79,0.039941,0.9726,9.96
1308.78,0.077138,0.9295,10.32
1310.77,0.042349,0.9425,10.70
1312.76,0.067572,0.9224,11.10
1314.75,0.071931,0.9193,11.54
1316.75,0.043299,0.9257,12.01
1318.74,0.062016,0.9770,12.51
1320.73,0.051436,0.9976,13.06
1322.72,0.056934,0.9745,13.67
1324.71,0.049929,0.9282,14.33
1326.71,0.078670,1.0000,15.08
1328.70,0.096666,0.9504,15.91
1330.69,0.087388,0.9477,16.86
1332.68,0.093943,0.9501,17.94
1334.67,0.103388,1.0000,19.19
1336.67,0.120171,1.0000,20.65
1338.66,0.107619,0.9641,22.37
1340.65,0.140011,0.9584,24.42
1342.64,0.148632,0.9804,26.90
1344.63,0.215641,0.9859,29.90
1346.63,0.226323,1.0000,33.54
1348.62,0.305462,0.9823,37.92
1350.61,0.315637,1.0000,43.06
1352.60,0.384638,0.9971,48.80
1354.59,0.373548,0.9759,54.80
1356.59,0.349234,0.9787,60.63
1358.58,0.303666,0.9561,65.91
1360.57,0.255985,0.9710,70.45
1362.56,0.199767,0.9733,74.24
1364.55,0.171864,0.9596,77.36
1366.55,0.140523,1.0000,79.93
1368.54,0.109306,1.0000,82.05
1370.53,0.111661,0.9580,83.83
1372.52,0.093640,1.0000,85.32
1374.51,0.082583,1.0000,86.60
1376.51,0.072832,0.9760,87.69
1378.50,0.060243,0.9749,88.65
1380.49,0.053625,1.0000,89.48
1382.48,0.083485,0.9442,90.22
1384.47,0.077563,0.9888,90.88
1386.47,0.057466,1.0000,91.47
1388.46,0.072044,0.9261,92.01
1390.45,0.039472,0.9206,92.49
1392.44,0.070654,0.9368,92.93
1394.43,0.048875,0.9875,93.34
1396.43,0.050033,0.9242,93.71
1398.42,0.038414,0.9603,94.06
1400.41,0.069454,0.9890,94.38
1402.40,0.072149,0.9132,94.68
1404.39,0.068386,0.9041,94.97
1406.39,0.057676,0.9502,95.23
1408.38,0.035735,0.9229,95.48
1410.37,0.051063,0.9305,95.72
1412.36,0.045640,0.9075,95.94
1414.35,0.066677,0.9196,96.16
1416.35,0.050979,0.9361,96.36
1418.34,0.070021,0.9036,96.56
1420.33,0.041722,0.9214,96.74
1422.32,0.032962,0.9123,96.92
1424.31,0.040043,0.9392,97.10
1426.31,0.065948,0.9579,97.26
1428.30,0.035125,0.8809,97.43
1430.29,0.046913,0.9381,97.58
1432.28,0.029300,0.9269,97.73
1434.27,0.033928,0.9687,97.88
1436.27,0.045537,0.9751,98.03
1438.26,0.068302,0.9143,98.17
1440.25,0.049864,0.8803,98.31
1442.24,0.048835,0.9023,98.45
1444.23,0.037131,0.8740,98.58
1446.23,0.028684,0.9329,98.71
1448.22,0.066677,0.9350,98.84
1450.21,0.057684,0.8950,98.97
1452.20,0.029546,0.9622,99.10
1454.19,0.057179,0.9125,99.23
1456.19,0.050205,0.9508,99.35
1458.18,0.060067,0.8807,99.48
1460.17,0.060576,0.9615,99.60
1462.16,0.037910,0.9485,99.73
1464.15,0.047205,0.9223,99.85
1466.15,0.041954,0.9717,99.98
1468.14,0.056394,0.8949,100.11
1470.13,0.050435,0.9015,100.24
1472.12,0.057819,0.9556,100.36
1474.11,0.048604,0.8940,100.50
1476.11,0.050731,0.9048,100.63
1478.10,0.046965,0.8965,100.76
1480.09,0.043898,0.9016,100.90
1482.08,0.062628,0.8950,101.04
