freq_hz,wsi,loc,grad,phase_disorder,coh_mean,admissible
81.71,0.1002,0.4720,0.2326,0.3541,0.9551,true
83.70,0.0705,0.4045,0.6353,0.3195,0.9288,true
85.70,0.1516,0.4928,0.7375,0.3805,0.9445,true
87.69,0.1595,0.2552,0.6227,0.3113,0.9342,true
89.68,0.1984,0.4854,0.3621,0.4049,0.8829,true
91.67,0.1102,0.3944,0.2355,0.2891,0.8817,true
93.66,0.1024,0.3708,0.5302,0.2947,0.9071,true
95.66,0.1229,0.3635,0.5022,0.2765,0.8736,true
97.65,0.1048,0.1696,0.6862,0.4503,0.8761,true
99.64,0.1930,0.4554,0.5395,0.4518,0.8746,true
101.63,0.1209,0.2672,0.2683,0.3390,0.9048,true
103.62,0.1092,0.4007,0.5012,0.3697,0.9156,true
105.62,0.1228,0.2924,0.6498,0.3975,0.9394,true
107.61,0.1659,0.4125,0.5281,0.4692,0.9022,true
109.60,0.1347,0.2982,0.4055,0.3163,0.9650,true
111.59,0.1326,0.2035,0.4843,0.3980,0.8745,true
113.58,0.1305,0.3155,0.7983,0.3286,0.8925,true
115.58,0.2441,0.1758,0.5701,0.4166,0.9082,true
117.57,0.1578,0.4000,0.4966,0.4695,0.9174,true
119.56,0.2444,0.4005,0.7447,0.4380,0.9061,true
121.55,0.2495,0.3426,0.5293,0.4042,0.9251,true
123.54,0.2567,0.1399,0.6691,0.4641,0.9433,true
125.54,0.3134,0.4722,0.4629,0.3689,0.9687,true
127.53,0.2445,0.3161,0.6469,0.3979,0.9448,true
129.52,0.3690,0.3387,0.9124,0.4921,0.9629,true
131.51,0.3980,0.1736,0.6164,0.5727,0.9299,true
133.50,0.4134,0.2691,0.6924,0.5989,0.9294,true
135.50,0.4704,0.1503,0.6222,0.5241,0.9470,true
137.49,0.4600,0.4377,0.6202,0.6258,0.9348,true
139.48,0.5162,0.4296,0.6014,0.5986,0.9471,false
141.47,0.4989,0.2546,0.5669,0.6070,0.9172,true
143.46,0.5424,0.1870,0.6838,0.4947,0.9557,false
145.46,0.5682,0.2222,0.6631,0.5684,0.8949,false
147.45,0.6041,0.2568,0.7776,0.5184,0.9750,false
149.44,0.6720,0.4904,0.9946,0.6351,0.9761,false
151.43,0.7878,0.4643,0.8878,0.6178,0.9749,false
153.42,0.8164,0.1913,0.6936,0.7832,0.9024,false
155.42,0.8607,0.4320,0.4868,0.6483,0.9301,false
157.41,0.8131,0.3192,0.6705,0.7570,0.9164,false
159.40,0.9251,0.4936,0.6841,0.7716,0.9851,false
161.39,0.8824,0.4693,0.3733,0.8362,0.9205,false
163.38,0.8799,0.1072,0.6360,0.7732,0.9936,false
165.38,0.9341,0.3954,0.6924,0.7784,0.9391,false
167.37,0.9523,0.4947,0.4703,0.8167,0.9438,false
169.36,0.9247,0.4356,0.4228,0.6840,0.9943,false
171.35,0.9254,0.1306,0.1733,0.8243,0.9964,false
173.34,0.8058,0.2939,0.4655,0.7968,1.0000,false
175.34,0.9142,0.3814,0.4374,0.7301,1.0000,false
177.33,0.7843,0.1684,0.1027,0.7347,0.9322,false
179.32,0.7694,0.3238,0.3763,0.6866,0.9715,false
181.31,0.7402,0.2120,0.4949,0.6357,0.9493,false
183.30,0.7690,0.4859,0.4445,0.6268,0.9410,false
185.30,0.7213,0.3376,0.0388,0.5769,0.9818,false
187.29,0.6006,0.1407,0.0000,0.5113,1.0000,false
189.28,0.5386,0.3001,0.2409,0.5268,0.9555,false
191.27,0.5067,0.3891,0.1351,0.5723,1.0000,false
193.26,0.4057,0.2465,0.4264,0.4186,1.0000,true
195.26,0.4811,0.1870,0.3400,0.5519,0.9678,true
197.25,0.3482,0.1530,0.1553,0.4600,0.9970,true
199.24,0.3556,0.3433,0.3360,0.4934,0.9533,true
201.23,0.2894,0.3142,0.2010,0.4346,1.0000,true
203.22,0.2470,0.4769,0.2715,0.4685,0.9769,true
205.22,0.2067,0.4066,0.3437,0.3243,0.9852,true
207.21,0.1909,0.3906,0.6196,0.4622,0.9578,true
209.20,0.2523,0.4462,0.5981,0.4767,0.9781,true
211.19,0.2286,0.4836,0.4686,0.3736,0.9615,true
213.18,0.2422,0.4581,0.5241,0.4935,0.9793,true
215.18,0.2390,0.4669,0.1917,0.4185,1.0000,true
217.17,0.1302,0.4906,0.4026,0.2812,0.9530,true
219.16,0.2046,0.3834,0.7549,0.3548,0.9550,true
221.15,0.2256,0.2949,0.4884,0.4741,1.0000,true
223.14,0.2019,0.4783,0.4141,0.4856,0.9462,true
225.14,0.1955,0.2968,0.4826,0.4511,1.0000,true
227.13,0.1970,0.4110,0.5014,0.4052,0.9856,true
229.12,0.1975,0.1270,0.4656,0.4749,1.0000,true
231.11,0.1859,0.2063,0.4936,0.3807,0.9595,true
233.10,0.1967,0.1383,0.4524,0.3191,0.9370,true
235.10,0.1699,0.1713,0.2081,0.4348,0.9666,true
237.09,0.0907,0.3496,0.4765,0.2943,1.0000,true
239.08,0.1627,0.4551,0.7551,0.4716,0.9721,true
241.07,0.1862,0.4852,0.4221,0.3238,0.9700,true
243.06,0.1356,0.4028,0.5015,0.3912,0.9225,true
245.06,0.1883,0.2804,0.5598,0.4471,0.9189,true
247.05,0.1591,0.2616,0.4761,0.4159,0.9456,true
249.04,0.1810,0.3553,0.5298,0.3877,0.9467,true
251.03,0.1716,0.4908,0.5364,0.3278,0.9984,true
253.02,0.1960,0.2298,0.2367,0.3016,0.9394,true
255.02,0.0761,0.2622,0.1376,0.2614,0.9194,true
257.01,0.0639,0.1216,0.6710,0.2815,0.9789,true
259.00,0.1407,0.3248,0.6781,0.3720,0.9152,true
260.99,0.1311,0.1396,0.3542,0.3407,0.9219,true
262.98,0.0884,0.2487,0.3444,0.4423,0.9815,true
264.97,0.0753,0.3117,0.5109,0.4111,0.9780,true
266.97,0.0940,0.1276,0.4277,0.2482,0.9416,true
268.96,0.0502,0.3892,0.7122,0.4158,0.9830,true
270.95,0.1737,0.3073,0.5403,0.4578,0.8844,true
272.94,0.0665,0.2356,0.3044,0.3743,0.9110,true
274.93,0.1032,0.2645,0.6183,0.4069,0.9254,true
276.93,0.1117,0.2435,0.4413,0.3846,0.8822,true
278.92,0.0831,0.4489,0.4704,0.2725,0.9540,true
280.91,0.1023,0.1987,0.6945,0.3671,0.9598,true
282.90,0.1563,0.2573,0.4758,0.3656,0.9725,true
284.89,0.0949,0.1306,0.2934,0.3992,0.9407,true
286.89,0.0817,0.2327,0.6761,0.3510,0.8981,true
288.88,0.1613,0.2615,0.8025,0.2915,0.8998,true
290.87,0.1947,0.1606,0.4488,0.4460,0.9219,true
292.86,0.1440,0.1349,0.4041,0.4115,0.9211,true
294.85,0.1608,0.4322,0.3505,0.4559,0.9671,true
296.85,0.0904,0.2017,0.4331,0.3726,0.8950,true
298.84,0.1377,0.3911,0.6801,0.2918,0.9188,true
300.83,0.1583,0.3704,0.6243,0.4019,0.9193,true
302.82,0.1850,0.2659,0.5332,0.3189,0.9704,true
304.81,0.1721,0.1154,0.3533,0.3154,0.9238,true
306.81,0.1325,0.1026,0.5512,0.3276,0.9623,true
308.80,0.1925,0.4734,0.3409,0.3775,0.9103,true
310.79,0.0754,0.1042,0.2825,0.2486,0.9315,true
312.78,0.1139,0.3843,0.4902,0.3593,0.9203,true
314.77,0.0733,0.1447,0.6326,0.2987,0.9090,true
316.77,0.1643,0.3871,0.5999,0.4419,0.9239,true
318.76,0.1117,0.1711,0.3889,0.4098,0.9601,true
320.75,0.1249,0.3495,0.4684,0.2881,0.8906,true
322.74,0.1015,0.2265,0.3937,0.4178,0.9790,true
324.73,0.0872,0.1792,0.3635,0.3087,0.9742,true
326.73,0.0528,0.1095,0.7333,0.3636,0.9791,true
328.72,0.1748,0.2778,0.5103,0.3672,0.9093,true
330.71,0.0581,0.3211,0.3254,0.3199,0.9244,true
332.70,0.1119,0.3846,0.6314,0.3971,0.9088,true
334.69,0.1081,0.1616,0.4793,0.3042,0.9491,true
336.69,0.1058,0.2049,0.5587,0.3654,0.9157,true
338.68,0.1312,0.4600,0.7315,0.3616,0.9719,true
340.67,0.1927,0.2614,0.3497,0.4332,0.9370,true
342.66,0.0774,0.2145,0.1950,0.3403,0.9797,true
344.65,0.0818,0.1735,0.8144,0.3422,0.9977,true
346.65,0.1948,0.1404,0.6124,0.4874,0.9413,true
348.64,0.1248,0.3019,0.2634,0.4286,1.0000,true
350.63,0.1091,0.2690,0.5576,0.3739,0.9824,true
352.62,0.1475,0.2209,0.6914,0.3880,0.9320,true
354.61,0.1812,0.3815,0.2883,0.3872,1.0000,true
356.61,0.0710,0.3910,0.2148,0.2954,0.9732,true
358.60,0.0776,0.4435,0.7845,0.3427,1.0000,true
360.59,0.1774,0.4849,0.6360,0.3335,1.0000,true
362.58,0.1293,0.4813,0.3079,0.3049,1.0000,true
364.57,0.1081,0.1529,0.3816,0.3359,1.0000,true
366.57,0.0872,0.2444,0.6555,0.3601,0.9934,true
368.56,0.1670,0.4466,0.5429,0.4604,0.9757,true
370.55,0.1045,0.4948,0.4054,0.3313,1.0000,true
372.54,0.1336,0.1620,0.5456,0.3351,1.0000,true
374.53,0.1228,0.4081,0.3328,0.2809,0.9746,true
376.53,0.0736,0.3259,0.3975,0.3719,1.0000,true
378.52,0.0866,0.2539,0.6015,0.3450,1.0000,true
380.51,0.1125,0.3871,0.6879,0.3026,0.9715,true
382.50,0.1574,0.4728,0.7495,0.2856,0.9739,true
384.49,0.2060,0.2380,0.5369,0.4158,1.0000,true
386.49,0.1725,0.3190,0.5190,0.3253,0.9626,true
388.48,0.2145,0.2167,0.6694,0.4974,0.9539,true
390.47,0.2365,0.3083,0.2976,0.4228,1.0000,true
392.46,0.1415,0.1186,0.5020,0.3252,0.9730,true
394.45,0.2387,0.3587,0.6821,0.4657,0.9537,true
396.45,0.2101,0.1336,0.5579,0.4351,0.9512,true
398.44,0.2616,0.4694,0.5404,0.5084,0.9660,true
400.43,0.2265,0.4183,0.5287,0.3530,0.9381,true
402.42,0.2737,0.4262,0.8697,0.4309,0.9717,true
404.41,0.3643,0.2948,0.5999,0.5615,1.0000,true
406.41,0.3120,0.1591,0.3802,0.5273,0.9894,true
408.40,0.3217,0.3797,0.8658,0.3824,0.9876,true
410.39,0.4484,0.4872,0.6068,0.5913,0.9821,true
412.38,0.3625,0.4020,0.3386,0.3981,0.9854,true
414.37,0.3904,0.1958,0.9784,0.5126,1.0000,true
416.37,0.5403,0.2640,0.9780,0.6459,0.9351,false
418.36,0.5681,0.4199,0.4547,0.5324,0.9962,false
420.35,0.5252,0.2959,0.6080,0.5739,0.9781,false
422.34,0.6094,0.2572,0.9010,0.5196,0.9322,false
424.33,0.6745,0.4132,0.7022,0.6582,0.9796,false
426.33,0.6854,0.1645,0.6430,0.6445,0.9396,false
428.32,0.7287,0.4337,0.8857,0.6896,0.9948,false
430.31,0.8291,0.1854,0.7695,0.8132,0.9509,false
432.30,0.8296,0.4256,0.4665,0.6182,0.9049,false
434.29,0.8183,0.1276,0.7472,0.7985,0.9474,false
436.29,0.9222,0.4971,0.6248,0.8224,0.9751,false
438.28,0.8658,0.4816,0.4074,0.7441,0.9651,false
440.27,0.8896,0.2670,0.6905,0.7278,0.9105,false
442.26,0.9375,0.4977,0.7625,0.6823,0.9775,false
444.25,0.9878,0.4643,0.2234,0.7813,0.9702,false
446.25,0.8371,0.3019,0.2977,0.7604,0.9166,false
448.24,0.9148,0.4891,0.3960,0.6589,0.9809,false
450.23,0.8003,0.1816,0.2183,0.6537,0.9698,false
452.22,0.8126,0.3407,0.5842,0.7608,0.9549,false
454.21,0.8329,0.3648,0.3853,0.8113,0.9700,false
456.21,0.7718,0.2995,0.0465,0.6792,0.9191,false
458.20,0.6673,0.2510,0.2839,0.6908,0.9296,false
460.19,0.6937,0.2880,0.3809,0.7361,0.9313,false
462.18,0.6250,0.1086,0.0418,0.5213,0.9713,false
464.17,0.5264,0.3795,0.1009,0.5731,0.9397,false
466.17,0.4795,0.3314,0.3695,0.5497,0.9159,true
468.16,0.4798,0.1386,0.3825,0.5971,0.9157,true
470.15,0.4377,0.2672,0.2671,0.5693,0.9389,true
472.14,0.3955,0.3200,0.5365,0.4768,0.9353,true
474.13,0.4527,0.1426,0.1798,0.5000,0.9625,true
476.13,0.2791,0.3128,0.0333,0.4198,0.9657,true
478.12,0.2822,0.2432,0.3825,0.5021,0.9560,true
480.11,0.2373,0.3955,0.4525,0.4913,0.9447,true
482.10,0.2662,0.2674,0.2990,0.5293,0.8719,true
484.09,0.1648,0.2676,0.2554,0.4570,0.8897,true
486.09,0.1776,0.2242,0.7808,0.4077,0.8874,true
488.08,0.2698,0.1617,0.4995,0.4553,0.9483,true
490.07,0.1790,0.4724,0.1223,0.3730,0.9614,true
492.06,0.1321,0.4614,0.4932,0.3893,0.9138,true
494.05,0.1780,0.2264,0.4994,0.3185,0.9299,true
496.05,0.1335,0.4848,0.4497,0.3613,0.9619,true
498.04,0.1610,0.3774,0.5051,0.2959,0.8900,true
500.03,0.1369,0.2943,0.4599,0.4607,0.9006,true
502.02,0.1478,0.3515,0.3215,0.2882,0.9499,true
504.01,0.0726,0.4871,0.5694,0.2465,0.8905,true
506.01,0.1749,0.3616,0.7809,0.3146,0.9311,true
508.00,0.1777,0.4698,0.2102,0.4602,0.8954,true
509.99,0.0696,0.1042,0.1902,0.2378,0.9535,true
511.98,0.0651,0.1605,0.7719,0.2410,0.9639,true
513.97,0.1713,0.4609,0.8304,0.3781,0.9613,true
515.97,0.1884,0.2706,0.3529,0.3235,0.8974,true
517.96,0.1187,0.4985,0.2872,0.2883,0.8912,true
519.95,0.1115,0.3217,0.6081,0.3934,0.8865,true
521.94,0.1600,0.1224,0.4276,0.4345,0.9142,true
523.93,0.0863,0.2823,0.5130,0.2971,0.9180,true
525.93,0.1663,0.4350,0.6241,0.3788,0.9184,true
527.92,0.1336,0.2876,0.3432,0.4547,0.8930,true
529.91,0.1101,0.3144,0.5146,0.4538,0.9262,true
531.90,0.1405,0.1913,0.6565,0.3649,0.9633,true
533.89,0.1693,0.3190,0.5830,0.4234,0.9351,true
535.89,0.1726,0.2603,0.4833,0.3326,0.9423,true
537.88,0.1646,0.3298,0.5496,0.4006,0.8825,true
539.87,0.1924,0.2558,0.3672,0.3959,0.9033,true
541.86,0.1172,0.3521,0.4552,0.4525,0.9542,true
543.85,0.1774,0.2667,0.4064,0.3190,0.9309,true
545.85,0.0843,0.4271,0.4401,0.3414,0.9439,true
547.84,0.1569,0.1404,0.5300,0.2891,0.9017,true
549.83,0.0968,0.2670,0.4738,0.3305,0.9550,true
551.82,0.1488,0.2208,0.7658,0.3380,0.9546,true
553.81,0.1963,0.4772,0.3105,0.4631,0.9032,true
555.81,0.0805,0.1066,0.1185,0.3594,0.8825,true
557.80,0.0572,0.1489,0.7487,0.3780,0.9381,true
559.79,0.1737,0.1655,0.4789,0.3316,0.9428,true
561.78,0.0510,0.1922,0.3677,0.3153,0.9309,true
563.77,0.1264,0.3986,0.8050,0.2866,0.8868,true
565.77,0.1649,0.3145,0.3622,0.3727,0.9498,true
567.76,0.0772,0.4036,0.4947,0.4353,0.9235,true
569.75,0.1645,0.2176,0.4895,0.4139,0.9711,true
571.74,0.0748,0.1734,0.3002,0.2749,0.9609,true
573.73,0.0924,0.2723,0.5342,0.3440,0.9771,true
575.73,0.0890,0.2284,0.5701,0.2860,0.9307,true
577.72,0.1197,0.4467,0.6457,0.4340,0.9600,true
579.71,0.1442,0.2798,0.7109,0.3559,0.9026,true
581.70,0.1990,0.1795,0.3968,0.3382,0.9918,true
583.69,0.1077,0.1911,0.4518,0.3776,0.9889,true
585.69,0.1828,0.1045,0.5789,0.3397,0.9399,true
587.68,0.1383,0.3853,0.4199,0.3880,0.9299,true
589.67,0.1548,0.1932,0.5747,0.3072,0.9570,true
591.66,0.1673,0.2544,0.3168,0.2905,0.9411,true
593.65,0.0888,0.4271,0.3066,0.3814,1.0000,true
595.65,0.0976,0.2604,0.5846,0.2522,0.9266,true
597.64,0.1215,0.3600,0.4535,0.2633,0.9759,true
599.63,0.0820,0.3758,0.4243,0.2504,0.9497,true
601.62,0.0952,0.4500,0.4164,0.2503,0.9997,true
603.61,0.0527,0.3522,0.6734,0.4169,0.9507,true
605.61,0.1606,0.2453,0.5142,0.3502,0.9963,true
607.60,0.0595,0.1567,0.5984,0.3026,0.9641,true
609.59,0.1984,0.3702,0.6835,0.4036,0.9972,true
611.58,0.1286,0.3199,0.4081,0.4130,0.9341,true
613.57,0.1660,0.1036,0.5229,0.3525,0.9429,true
615.57,0.1386,0.1112,0.2025,0.4015,1.0000,true
617.56,0.0579,0.3073,0.5804,0.4068,1.0000,true
619.55,0.1698,0.2390,0.6495,0.3993,0.9770,true
621.54,0.1145,0.3444,0.2460,0.3749,0.9665,true
623.53,0.0777,0.4018,0.4645,0.4218,1.0000,true
625.53,0.1030,0.2935,0.4217,0.4234,0.9728,true
627.52,0.0504,0.2053,0.5251,0.2566,0.9840,true
629.51,0.1138,0.2918,0.8019,0.4475,1.0000,true
631.50,0.1632,0.3952,0.4875,0.3295,0.9851,true
633.49,0.1107,0.3935,0.3669,0.4168,0.9580,true
635.49,0.1156,0.4163,0.7100,0.2853,0.9990,true
637.48,0.1896,0.1412,0.3793,0.4334,1.0000,true
639.47,0.0727,0.4064,0.1743,0.3432,0.9686,true
641.46,0.0711,0.2258,0.8366,0.4095,1.0000,true
643.45,0.1982,0.2442,0.6198,0.4889,0.9797,true
645.45,0.1168,0.3324,0.3554,0.2869,1.0000,true
647.44,0.1465,0.1908,0.6506,0.4291,1.0000,true
649.43,0.1738,0.2996,0.5302,0.2923,0.9599,true
651.42,0.1591,0.4142,0.1767,0.2835,0.9810,true
653.41,0.0562,0.4838,0.3703,0.3529,1.0000,true
655.41,0.1129,0.2804,0.6669,0.3290,1.0000,true
657.40,0.1192,0.3085,0.5846,0.4142,0.9486,true
659.39,0.1456,0.3360,0.4175,0.3958,0.9457,true
661.38,0.0904,0.4463,0.2980,0.2483,0.9357,true
663.37,0.0727,0.1731,0.4353,0.3024,0.9319,true
665.37,0.0681,0.3398,0.7023,0.4139,0.9747,true
667.36,0.1488,0.3717,0.6293,0.4378,0.9646,true
669.35,0.1172,0.4301,0.2408,0.3387,0.9396,true
671.34,0.0548,0.2643,0.3872,0.3429,0.9423,true
673.33,0.0772,0.2678,0.5851,0.4165,1.0000,true
675.33,0.0877,0.1657,0.7035,0.2638,0.9765,true
677.32,0.1537,0.3343,0.5749,0.3153,0.9496,true
679.31,0.1168,0.3230,0.2927,0.4128,0.9589,true
681.30,0.0789,0.2708,0.4187,0.2793,0.9126,true
683.29,0.0884,0.2268,0.6289,0.3768,0.9240,true
685.29,0.1279,0.2426,0.5573,0.3336,1.0000,true
687.28,0.1110,0.1590,0.4204,0.4532,0.9433,true
689.27,0.1001,0.1036,0.4062,0.3745,0.9133,true
691.26,0.0780,0.2240,0.7561,0.2432,0.9388,true
693.25,0.1960,0.2617,0.6057,0.4264,0.9693,true
695.25,0.1184,0.4642,0.3996,0.4510,0.9683,true
697.24,0.1605,0.4921,0.6417,0.3720,0.9331,true
699.23,0.1722,0.4063,0.6027,0.3848,0.9103,true
701.22,0.1999,0.1597,0.2623,0.4552,0.9840,true
703.21,0.0861,0.2180,0.2074,0.2828,0.9120,true
705.21,0.0936,0.4972,0.7998,0.3580,0.9377,true
707.20,0.1982,0.1900,0.4009,0.3338,0.9351,true
709.19,0.0586,0.2929,0.1198,0.3176,0.9670,true
711.18,0.0596,0.2374,0.5861,0.3704,0.9391,true
713.17,0.0919,0.4637,0.6674,0.2496,0.9440,true
715.17,0.1228,0.1042,0.3995,0.3410,0.9348,true
717.16,0.0564,0.4092,0.6387,0.3770,0.9558,true
719.15,0.1754,0.1377,0.8263,0.3199,0.9947,true
721.14,0.1782,0.1165,0.2015,0.4698,1.0000,true
723.13,0.0670,0.2079,0.4407,0.3415,0.9884,true
725.13,0.1579,0.4179,0.6953,0.3077,0.9334,true
727.12,0.1405,0.1187,0.4373,0.2925,0.9970,true
729.11,0.1363,0.2660,0.6047,0.3098,0.9704,true
731.10,0.1806,0.3388,0.3165,0.3337,1.0000,true
733.09,0.0702,0.4508,0.3336,0.3175,0.9423,true
735.09,0.1208,0.4323,0.5209,0.3012,1.0000,true
737.08,0.0794,0.4051,0.5534,0.4167,0.9467,true
739.07,0.1420,0.2380,0.4254,0.4301,1.0000,true
741.06,0.0534,0.4715,0.5867,0.3084,0.9535,true
743.05,0.1755,0.1591,0.6329,0.4436,0.9654,true
745.05,0.1039,0.3876,0.5605,0.4000,0.9766,true
747.04,0.1993,0.2709,0.7026,0.4652,0.9540,true
749.03,0.1801,0.2319,0.2366,0.3772,1.0000,true
751.02,0.1038,0.3080,0.2214,0.3732,1.0000,true
753.01,0.0790,0.2567,0.4345,0.2678,1.0000,true
755.01,0.0812,0.4187,0.4424,0.3262,0.9768,true
757.00,0.0593,0.2800,0.6949,0.2645,1.0000,true
758.99,0.1545,0.2745,0.7614,0.4195,1.0000,true
760.98,0.1572,0.1730,0.3032,0.3293,1.0000,true
762.97,0.0835,0.1441,0.5115,0.2910,0.9849,true
764.96,0.1629,0.4242,0.4120,0.4108,0.9945,true
766.96,0.0526,0.4610,0.2225,0.3586,1.0000,true
768.95,0.0622,0.3032,0.6515,0.2482,1.0000,true
770.94,0.1100,0.4649,0.6401,0.2664,1.0000,true
772.93,0.1154,0.3068,0.6338,0.4279,0.9959,true
774.92,0.1608,0.1800,0.6076,0.4561,0.9838,true
776.92,0.1565,0.3488,0.4342,0.4428,0.9545,true
778.91,0.1381,0.4885,0.4917,0.3975,1.0000,true
780.90,0.1550,0.1831,0.6583,0.3823,0.9911,true
782.89,0.1980,0.1322,0.4566,0.3541,1.0000,true
784.88,0.1406,0.3665,0.1135,0.4251,0.9923,true
786.88,0.0571,0.3122,0.4221,0.2342,0.9958,true
788.87,0.1134,0.1052,0.6223,0.3563,0.9925,true
790.86,0.1037,0.1285,0.7003,0.3621,1.0000,true
792.85,0.1887,0.1797,0.5230,0.4608,0.9458,true
794.84,0.1137,0.1618,0.2740,0.3329,0.9583,true
796.84,0.1069,0.1898,0.7206,0.4475,0.9793,true
798.83,0.1965,0.4593,0.7339,0.3705,0.9667,true
800.82,0.1947,0.1529,0.3377,0.4644,0.9952,true
802.81,0.1382,0.3933,0.4315,0.3711,0.9792,true
804.80,0.1710,0.3075,0.5664,0.4133,0.9391,true
806.80,0.1642,0.2123,0.3290,0.4591,0.9851,true
808.79,0.1095,0.1440,0.4215,0.4004,0.9494,true
810.78,0.1368,0.2514,0.5515,0.4079,0.9442,true
812.77,0.1300,0.4002,0.5272,0.3782,0.9524,true
814.76,0.1484,0.2732,0.2810,0.3227,0.8960,true
816.76,0.0508,0.1161,0.4878,0.3115,0.9635,true
818.75,0.1454,0.2051,0.5184,0.4054,0.9571,true
820.74,0.0591,0.3314,0.5472,0.3509,0.9593,true
822.73,0.1644,0.1243,0.4777,0.4576,0.9174,true
824.72,0.0525,0.2538,0.5403,0.4025,0.8902,true
826.72,0.1808,0.1256,0.4921,0.3699,0.9403,true
828.71,0.0511,0.3769,0.1987,0.3593,0.9456,true
830.70,0.0712,0.3597,0.5466,0.3129,0.9736,true
832.69,0.0698,0.1800,0.6477,0.2589,0.8969,true
834.68,0.1272,0.2827,0.6196,0.2904,0.9111,true
836.68,0.1154,0.4885,0.6362,0.3360,0.8929,true
838.67,0.1789,0.4178,0.5196,0.3917,0.9429,true
840.66,0.1241,0.1677,0.4727,0.2730,0.8951,true
842.65,0.1704,0.2172,0.3944,0.3977,0.9262,true
844.64,0.0867,0.4087,0.2979,0.2999,0.9599,true
846.64,0.0974,0.1454,0.4937,0.3312,0.8950,true
848.63,0.0860,0.3123,0.4625,0.3624,0.8821,true
850.62,0.0852,0.2664,0.6682,0.2631,0.8793,true
852.61,0.1495,0.3849,0.4651,0.2785,0.9543,true
854.60,0.0739,0.1951,0.3059,0.2582,0.9152,true
856.60,0.0795,0.1211,0.4754,0.3608,0.8869,true
858.59,0.0663,0.1881,0.5744,0.3101,0.8828,true
860.58,0.1085,0.2804,0.4870,0.2616,0.9034,true
862.57,0.0631,0.4496,0.6712,0.2862,0.9682,true
864.56,0.1731,0.2940,0.5139,0.3464,0.9144,true
866.56,0.0697,0.4011,0.1683,0.2413,0.8817,true
868.55,0.0524,0.3741,0.7417,0.3846,0.8767,true
870.54,0.1603,0.1973,0.5519,0.3039,0.9589,true
872.53,0.0730,0.3697,0.3415,0.2968,0.9698,true
874.52,0.1034,0.2632,0.6826,0.4299,0.8840,true
876.52,0.1419,0.3613,0.3894,0.2949,0.9621,true
878.51,0.0642,0.1425,0.4848,0.3797,0.8994,true
880.50,0.1378,0.2090,0.7456,0.2777,0.9212,true
882.49,0.1563,0.3860,0.5393,0.3606,0.9625,true
884.48,0.1538,0.3370,0.2528,0.3705,0.8871,true
886.48,0.0667,0.3710,0.3369,0.4110,0.9534,true
888.47,0.0953,0.4427,0.7250,0.2853,0.9045,true
890.46,0.1511,0.1172,0.5698,0.3063,0.9242,true
892.45,0.1225,0.1159,0.5429,0.3150,0.8748,true
894.44,0.1685,0.3924,0.3759,0.4399,0.8829,true
896.44,0.0783,0.3251,0.2353,0.4348,0.8769,true
898.43,0.0725,0.3534,0.4819,0.3451,0.9112,true
900.42,0.0732,0.4730,0.4841,0.2799,0.9113,true
902.41,0.0681,0.1625,0.4894,0.4219,0.8807,true
